S/N,Model,Headset,Info
679457,Cleco WLAN 47BAXSB70AH4, , // 2017-10-02 21:00:35
F2410800,ETV ST61-100-13, , // 2019-05-08 17:00:31
F0570212,ETV ST61-50-13, , 
F0792650,ETV ST61-50-13, ,do kalibracji backup Z4 // 2018-01-22 09:41:42
F0792933,ETV ST61-50-10, , 
F2510546,ETV ST61-30-13-LO10-X,89451201, 
F1500096,ETV ST-81-100-13, , 
F1730795,ETV ST61-70-13, , 
F0731519,ETV ST61-40-13, ,wkr�tarka testowa tylko jedna sztuka do zlokalizowania bo nie ma jej na CWN // 2018-04-21 02:00:24
F0802729,ETV ST81-50-10, , // 2019-05-30 16:34:49
C558106,ETV S7-50-10CTADS,T79CH13, // 2018-03-02 21:20:40
C684228,ETV S7-70-13 CTADS, ,brak reakcji na wcisniecie przycisku // 2017-09-27 20:17:12
C8492932,ETV S7-50-10CTADS, , 
C735231,ETV S74-70-13 CTADS, ,E619 Nap�d nieaktywny
C684217,ETV S7-70-13 CTADS,,
C480021,ETV S7-50-10CTADS, , 
C8492927,ETV S7-50-10CTADS, , // 2017-01-24 10:51:13
C480199,ETV S7-50-10CTADS, , 
C574046,ETV S7-50-10CTADS, , 
E1830556,ETV STB62-50-10-BCR, ,e535 - serwis // 2019-06-19 20:00:32
D0851092,ETV STB62-50-10-BCR, ,do kalibracji z ML4T125L // 2018-11-07 17:30:24
E2410725,ETV STB62-50-10-BCR, , 
E0610648,ETV STB62-50-10-BCR, , // 2019-06-08 13:25:36
E2490901,ETV STB62-50-10-BCR, , // 2018-09-28 11:38:09
E1731083,ETV STB32-30-10-BCR, ,uszkodzony trigger // 2018-04-06 04:57:12
E3402269,ETV STB32-30-10-BCR, ,b�ad E621 pomiar pr�du // 2018-02-13 13:20:45
E2551452,ETV STB32-30-10-BCR, , // 2017-02-02 20:16:24
E2702029,ETV STB62-30-10-BCR, ,NA FRONT SLW GP
E1531315,ETV STB62-50-10-BCR, ,W serwisie
E2411179,ETV STB62-50-10-BCR, ,Po naprawie LEDCARD
E1720757,ETV STB62-50-10-BCR, , // 2018-05-08 21:00:53
E2490900,ETV STB62-50-10-BCR, ,Wycofana. W jej miejsce przysz�a B6720339 
E1531312,ETV STB62-50-10-BCR, , // 2018-08-27 15:10:12
E2491465,ETV STB62-50-10-BCR, ,W naprawie uszkodzone wrzeciono // 2018-06-25 01:40:30
E3381883,ETV STB62-70-13-BCR, ,Przed�u�ka (Takt 11) - ZAGINIONY
E0792161,ETV STB62-50-10-BCR, ,z�amany kwadrat  // 2019-05-20 00:47:27
E1840326,ETV STB62-50-10-BCR, , // 2019-02-05 21:29:22
E2411181,ETV STB62-50-10-BCR, ,Skalibrowana
C270595,ETV S7-200-B13 CTADS, , 
C574055,ETV S7-50-10CTADS, , 
C735230,ETV S7-70-13 CTADS, , 
A1460120,QST62-230CTV-HAD, , 
B1380393,QST62-230CT, , 
B0733940,QST90-750CTV, , // 2017-07-22 18:28:00
B1450006,QST50-200CTV, , // 2018-09-30 07:27:56
C272073,ETV S7-100 CTADS, , 
C8533648,ETV S7-100 CTADS-HAD, ,po przegladzie Z4 // 2019-01-28 23:27:20
C272220,ETV S7-150-13 CTADS, , // 2018-01-22 10:00:46
C8606731,ETV S7-200-B13 CTADS, ,w serwisie // 2019-02-25 12:06:48
C8533275,ETV S9-370-20 CTADS, , // 2017-11-28 15:15:42
C480213,ETV S7-50 CTADS, , 
RJ4867,47EA 43AM3, , 
C1520907,ETP STB32-06-I06-BCR, , 
C8736566,ETV S7-70-13 CTADS, ,serwis // 2018-09-10 12:55:06
C8552369,ETV S7-50-10CTADS, , 
485000001,ECH26MG 0 608 841 017,WH2 0 608 810 040,KLUCZ ZDEMONTOWANY NIE W U�YTKU - NADSTAN // 2019-09-14 00:04:56
C8723495,ETV S7-70-13 CTADS,LUBBERING 828501, 
F2510548,ETC ST61-30-13-LO11,89210170, // 2018-08-23 08:21:44
F2510547,ETC ST61-30-13-LO11,89210170, 
F2361521,ETV ST61-100-13,Luebbering 80442402 , 
888000003,BG 4,4W4 0 608 810 014, 
104000146,BG 4,608800048,W serwisie // 2018-04-24 07:43:03
691000001,ESA056G, , 
391000057,BG 4,608800048, 
C480027,ETV S7-50-10CTADS, , 
A0640898,ETP STB34-12-I06BD-W, , 
A0732490,ETP STB34-12-I06BD-W,,
A0640897,ETP STB34-12-I06BD-W, ,Luzy na uchwycie skanera - serwis // 2019-02-26 06:59:24
C8649041,ETV S7-70-13 CTADS, , 
C272077,ETV S7-100 CTADS, ,W naprawie CWN // 2019-05-13 11:11:20
OL3051,47EA90AH4, , 
A9586409,ETV STB31-15-10, ,Skalibrowany // 2018-10-09 15:24:06
12000010,ECH26MG 0 608 841 017,WH2 0 608 810 040,TTRAN1: Calibration error // 2017-08-09 13:16:33
289000017,ECH57MG 0 608 841 011,0 608 PE0 850, 
7000036,ECH57MG 0 608 841 011,WH3 0 608 810 029, 
106000022,ECH57MG 0 608 841 011,0 608 810 031+L�bbering 80 422 802, // 2018-11-25 13:50:24
D3680025,QST50-200CTV, , 
B683115,ETV ST81-50-B10, , 
A3842426,ETP STR61-30-10, , // 2017-02-21 19:58:19
F3482385,ETV ST61-50-B10, ,Do kalibracji // 2019-06-07 12:39:03
F3482383,ETV ST61-50-B10, ,po przegl�dzie Z4 // 2019-04-10 09:21:17
F3481033,ETV ST61-28-10, , 
A3842429,ETP STR61-30-10, ,Uszkodzona rekoje�� // 2018-01-22 01:26:41
109000005,ECH57MG 0 608 841 011,WH3 0 608 810 029,Nieu�ywana z MP110/MP120 
679458,Cleco WLAN 47BAYSB70AH4, ,zdjety z linii w celach weryfikacji // 2018-03-13 12:15:37
F3812467,ETV ST81-150-13, , // 2017-08-09 16:50:48
F3852526,ETV ST81-70-13, , // 2017-03-24 00:02:38
F3812470,ETV ST81-150-13, ,Zdjeta do kalibracji pucha // 2018-05-19 21:40:24
F3812472,ETV ST81-150-13, , 
F4440881,ETV ST81-150-13, , // 2017-04-25 09:23:20
WJ0555,48EAE230AX6, ,po przegladzie Z4 // 2019-01-28 23:29:50
WI0590,48EAE230AX6, ,zdemontowana ze stanowiska McPherson SLW_1 Z4 // 2019-01-28 23:28:47
WJ0278,48EAE230AX6, , // 2017-04-28 13:27:10
107000008,ECH57MG 0 608 841 011,WH2 0 608 810 040, 
A4551279,ETV S72-70-B13, , 
A4551281,ETV S72-70-B13, , // 2019-06-27 11:12:37
A4551282,ETV S72-70-B13, , 
A4551283,ETV S72-70-B13, ,Cyngiel do wymiany - Tool Trigger // 2019-06-05 05:31:05
A4551280,ETV S72-70-B13, ,E538 i E539 - J�drzej // 2018-10-04 17:06:07
C480028,ETV S7-50-10CTADS, , 
F4392830,ETV ST81-50-FS, , 
E1662017,ETV STB62-70-13-BCR, , // 2018-12-06 18:13:12
B2630079,QST50-90CTTA, , 
B2630080,QST50-90CTTA, , 
F4500508,ETV ST61-70-13,LUEBBERING 80442402, 
F4500523,ETV ST61-70-13,LUEBBERING 80442402,Wymaga pilnego sprawdzenia Cmk // 2017-10-14 04:33:37
F4500525,ETV ST61-70-13,LUEBBERING 80442402,poluzowana g�owica lubberinga // 2018-05-17 11:49:14
582000005,ECH57MG 0 608 841 011,, 
388000006,BG 5,GK3C281 0 608 800 079,speed error- wymiana silnika na 390000005 // 2019-08-22 09:24:10
C646119,ETV S7-50-10CTADS, ,cofni�te piny serwis  // 2018-01-22 14:52:39
655080,Cleco IRDa 47BA28AM3,Z�OM, 
F4830883,ETV ST61-28-10, ,Skalibrowano
F4850230,ETV ST-81-200-20, , 
F4850228,ETV ST-81-200-20, , 
283000003,ECH57MG 0 608 841 011,0 608 PE0 850, 
390000008,ECH26MG 0 608 841 017,Lubbering, 
D4822335,ETP STB33-12-I06-BCR-W,ATLAS COPCO WLAN, // 2019-05-21 13:16:48
D4822336,ETP STB33-12-I06-BCR-W,ATLAS COPCO WLAN, // 2019-09-20 21:23:03
12000017,ECH26MG 0 608 841 017,Lubbering 80431004,MP110 po prze�o�eniu na Lubberinga
F4842898,ETV ST31-15-10, ,Schnellecke
F4852171,ETV ST31-15-10, ,Schnellecke
2545.1270,BLM LINE WRENCH, ,POPRAWKA PO LUEBBERINGU na Takcie 1 - ZP8
F4851276,ETV ST61-70-13, , 
F5361089,ETV ST61-70-13, , // 2018-11-26 13:08:03
C1530418,ETP STB32-06-I06-BCR, ,Po�yczony od Atlas Copco
210000109,BG 4,4W4 0 608 810 014 ,   
210000108,BG 4,4VMC360 0 608 801 006, 
305000006,ECH26MG 0 608 841 017,WH2 0 608 810 040,Nieu�ywana z Front T6
F5691691,ETV ST61-100-13,,W labo do sprawdzenia E543 // 2019-05-16 00:08:28
F5691690,ETV ST61-100-13,Luebbering 80442402, 
C5701945,ETV STB33-15-10BCRW, ,E535 // 2018-10-22 04:59:14
C5701946,ETV STB33-15-10BCRW, ,W naprawie w CWN // 2017-10-09 13:06:07
D5480718,ETP STB33-12-10-BCRW, ,e623 // 2019-09-03 23:03:43
D5480717,ETP STB33-12-10-BCRW, ,u nas w labo wkretarka awaryjna na ML1T13 // 2019-04-11 18:32:41
D4811716,ETP STB33-12-I06BCRW, , // 2018-09-17 17:25:14
